Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,domestic %,foregin %
2765,3000 Miles to Graceland,18720175,15749959,2970216,2001.csv,2001,0.8413360986208729,0.15866390137912706
2766,The Ninth Gate,18661336,18661336,0,2000.csv,2000,1.0,0.0
2767,Greta,18653107,10532219,8120888,2019.csv,2019,0.56463617562479,0.43536382437521
2768,Waiting...,18637690,16124543,2513147,2005.csv,2005,0.8651578065736687,0.13484219342633127
2769,Max Keeble's Big Move,18634654,17294293,1340361,2001.csv,2001,0.9280715917773413,0.07192840822265871
2770,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",18623382,0,18623382,2001.csv,2001,0.0,1.0
2771,An Unfinished Life,18618284,8586392,10031892,2005.csv,2005,0.46118063297347917,0.5388193670265208
2772,My Father and My Son,18612999,0,18612999,2005.csv,2005,0.0,1.0
2773,De-Lovely,18611951,13456633,5155318,2004.csv,2004,0.7230103388946167,0.2769896611053833
2774,Empire,18591272,17600423,990849,2002.csv,2002,0.9467035391661205,0.05329646083387947
2775,Keeping Mum,18575768,1619466,16956302,2005.csv,2005,0.0871816443874622,0.9128183556125378
2776,Turetskiy gambit,18520000,0,18520000,2005.csv,2005,0.0,1.0
2777,My Baby's Daddy,18490423,17669317,821106,2004.csv,2004,0.955592903418164,0.044407096581835906
2778,Loser,18404706,15618626,2786080,2000.csv,2000,0.848621325437092,0.151378674562908
2779,As It Is in Heaven,18318233,0,18318233,2005.csv,2005,0.0,1.0
2780,Bhool Bhulaiyaa 2,18307258,0,18307258,2022.csv,2022,0.0,1.0
2781,The World's Fastest Indian,18297690,5128124,13169566,2005.csv,2005,0.28026073236567023,0.7197392676343298
2782,Quai des illusions,18291248,0,18291248,2004.csv,2004,0.0,1.0
2783,Antitrust,18195610,11328094,6867516,2001.csv,2001,0.6225729173135718,0.3774270826864282
2784,My Boss's Daughter,18191005,15550605,2640400,2003.csv,2003,0.8548513399891869,0.14514866001081303
2785,All the Pretty Horses,18133495,15540353,2593142,2000.csv,2000,0.8569971205219954,0.14300287947800466
2786,Takizawa Enbujo Zero,18091395,0,18091395,2020.csv,2020,0.0,1.0
2787,Freaky,18073433,9030855,9042578,2020.csv,2020,0.4996756841934789,0.5003243158065211
2788,The Stronghold,18066143,0,18066143,2021.csv,2021,0.0,1.0
2789,The Country Bears,18012097,16990825,1021272,2002.csv,2002,0.9433007716980427,0.05669922830195729
2790,Quills,17989227,7065332,10923895,2000.csv,2000,0.3927535074186345,0.6072464925813655
2791,Night Watch 2005 Re-release,17939389,1502188,16437201,2005.csv,2005,0.08373685413700545,0.9162631458629945
2792,My Tutor Friend,17896209,0,17896209,2003.csv,2003,0.0,1.0
2793,The New World,17823920,0,17823920,2003.csv,2003,0.0,1.0
2794,Jail Breakers,17797711,0,17797711,2002.csv,2002,0.0,1.0
2795,The Banshees of Inisherin,17728808,7904578,9824230,2022.csv,2022,0.44586065797542623,0.5541393420245738
2796,The Last Kiss,17720347,1048950,16671397,2002.csv,2002,0.05919466475458974,0.9408053352454102
2797,The Promised Neverland,17710977,0,17710977,2020.csv,2020,0.0,1.0
